대화 ID	메시지 ID	발신자 타입	대화 내용	다음 대화 ID	다음 선택지 ID	대화 종료 여부
dialogId	messageId	senderType	dialogText	nextDialogId	choiceGroupId	isEnd
int	int	enum	string	int	int	bool
900001	800001	NPC	STR_DIA_000001	900002	0	0
900002	800001	USER	STR_DIA_000002	900003	0	0
900003	800001	NPC	STR_DIA_000003	900004	0	0
900004	800001	NPC	STR_DIA_000004	900005	0	0
900005	800001	NPC	STR_DIA_000005	0	1000001	0
900006	800001	USER	None	0	0	0
900101	800001	NPC	STR_DIA_000101	900102	0	0
900201	800001	NPC	STR_DIA_000201	900301	0	0
900301	800001	NPC	STR_DIA_000301	900302	0	1
