미션 ID	일차	미션 탭 순서	미션 내용	미션 처리 구분	미션 종류	미션 타겟 ID	미션 완료 필요 수치	누적 게이지 지급 수치	보상 아이템 그룹 ID	미션 스트링 ID
Mission_Id	Day_Index	Mission_Order	Mission_Desc	Check_Type	Mission_Type	Target_Id	Goal_Value	Festa_Point	Reward_Daily_Id	Mission_String_Id
Int	Int	int	String	Bool	Int	Int	Int	Int	Int	String
49011	1	1	게임 1회 접속하기	0	301	0	1	20	4011	Mission_Type_301
49012	1	2	코인 n개 획득	1	103	100001	20	20	4012	Mission_Type_103
49013	1	3	아무 아이템 20회 조합	0	102	0	20	20	4013	Mission_Type_102
49014	1	4	냥냥스톤 n개 획득	1	103	100003	1	20	4014	Mission_Type_103
49015	1	5	털뭉치 인형 n개 획득	1	103	100004	1	20	4015	Mission_Type_103
49021	2	1	미니게임 n회 플레이	1	302	0	1	20	4021	Mission_Type_302
49022	2	2	코인 n개 획득	1	103	100001	40	20	4022	Mission_Type_103
49023	2	3	코인 20개 사용	0	105	100001	20	20	4023	Mission_Type_105
49024	2	4	냥냥스톤 n개 획득	1	103	100003	1	20	4024	Mission_Type_103
49025	2	5	보석 10개 사용	0	105	100002	10	20	4025	Mission_Type_105
49031	3	1	미니게임 n회 플레이	1	302	0	1	20	4031	Mission_Type_302
49032	3	2	에너지 100 사용	0	201	0	100	20	4032	Mission_Type_201
49033	3	3	보석 n개 획득	1	103	100002	10	20	4033	Mission_Type_103
49034	3	4	아무 아이템 100회 생성	0	108	0	100	20	4034	Mission_Type_108
49035	3	5	캣닙 1개 획득	0	103	0	1	20	4035	Mission_Type_103
49041	4	1	미니게임 n회 플레이	1	302	0	2	20	4041	Mission_Type_302
49042	4	2	코인 n개 획득	1	103	100001	100	20	4042	Mission_Type_103
49043	4	3	아무 아이템 50개 조합	0	102	0	50	20	4043	Mission_Type_102
49044	4	4	치약 1개 획득	0	103	0	1	20	4044	Mission_Type_103
49045	4	5	물고기 인형 1개 획득	0	103	0	1	20	4045	Mission_Type_103
49051	5	1	미니게임 n회 플레이	1	302	0	2	20	4051	Mission_Type_302
49052	5	2	코인 n개 획득	1	103	100001	150	20	4052	Mission_Type_103
49053	5	3	경험치 50 획득	0	202	0	50	20	4053	Mission_Type_202
49054	5	4	두부모래 1개 획득	0	103	0	1	20	4054	Mission_Type_103
49055	5	5	나사못 상자 1개 획득	0	103	0	1	20	4055	Mission_Type_103
49061	6	1	미니게임 n회 플레이	1	302	0	3	20	4061	Mission_Type_302
49062	6	2	에너지 100 사용	0	201	0	150	20	4062	Mission_Type_201
49063	6	3	아무 아이템 100개 조합	0	102	0	100	20	4063	Mission_Type_102
49064	6	4	얼룩 제거제 1개 획득	0	103	0	1	20	4064	Mission_Type_103
49065	6	5	털뭉치 인형 n개 획득	1	103	100004	1	20	4065	Mission_Type_103
49071	7	1	미니게임 n회 플레이	1	302	0	3	20	4071	Mission_Type_302
49072	7	2	코인 n개 획득	1	103	100001	150	20	4072	Mission_Type_103
49073	7	3	아무 아이템 100회 생성	0	108	0	100	20	4073	Mission_Type_108
49074	7	4	냥냥클로 n개 획득	1	103	100005	2	20	4074	Mission_Type_103
49075	7	5	원목 1개 획득	0	103	0	1	20	4075	Mission_Type_103
