순서	보상 그룹 ID	보상 순서	보상 이름	보상 아이디	수량
Index	Reward_Group_Id	Reward_Order	Reward_Name	Reward_Id	Amount
Int	Int	Int	String	Int	Int
44	4011	1	코인	100001	100
45	4012	1	코인	100001	100
46	4013	1	냥냥스톤	100003	1
47	4014	1	코인	100001	100
48	4015	1	털뭉치 인형	100004	1
49	4015	2	보석	100002	50
50	4021	1	코인	100001	100
51	4022	1	코인	100001	100
52	4023	1	코인	100001	100
53	4024	1	코인	100001	100
54	4024	2	냥냥스톤	100003	1
55	4025	1	코인	100001	100
56	4025	2	털뭉치 인형	100004	2
57	4025	3	보석	100002	50
58	4031	1	코인	100001	100
59	4032	1	냥냥스톤	100003	1
60	4033	1	코인	100001	100
61	4034	1	털뭉치 인형	100004	3
62	4035	1	보석	100002	50
63	4041	1	코인	100001	100
64	4042	1	냥냥스톤	100003	1
65	4043	1	코인	100001	100
66	4044	1	털뭉치 인형	100004	4
67	4045	1	보석	100002	50
68	4051	1	코인	100001	100
69	4052	1	냥냥스톤	100003	1
70	4053	1	코인	100001	100
71	4054	1	털뭉치 인형	100004	4
72	4055	1	보석	100002	50
73	4061	1	코인	100001	100
74	4062	1	냥냥스톤	100003	1
75	4063	1	코인	100001	100
76	4064	1	털뭉치 인형	100004	5
77	4065	1	보석	100002	50
78	4071	1	코인	100001	100
79	4072	1	냥냥스톤	100003	1
80	4073	1	코인	100001	100
81	4074	1	털뭉치 인형	100004	5
82	4075	1	보석	100002	50
83	5101	1	보석	100002	50
84	5101	2	냥냥스톤	100003	1
85	5101	3	냥냥클로	100005	1
86	5102	1	보석	100002	50
87	5102	2	냥냥스톤	100003	3
88	5102	3	냥냥클로	100005	3
89	5103	1	보석	100002	50
90	5103	2	냥냥스톤	100003	5
91	5103	3	냥냥클로	100005	5
92	5104	1	코인	100001	1000
93	5104	2	보석	100002	60
94	5104	3	냥냥클로	100005	5
95	5105	1	코인	100001	1000
96	5105	2	보석	100002	60
97	5105	3	냥냥클로	100005	7
98	5106	1	코인	100001	2000
99	5106	2	보석	100002	100
100	5106	3	냥냥클로	100005	10
